"","X","text","stance","sentiment","balanced_train","vader_scores","vader_rep"
"29",29,"RT @MaureenFrench: TY @cspan for airing the #WomensMarch #TheResistance #OurRevolution #NotMyPresident
Take note @CNN @MSNBC @NBC @FOX @ABC…",1,1,0,0.516,0.516
"30",30,"RT @BuzzFeed: Two generations of the #WomensMarch on Washington https://t.co/i1FyjmSN0c https://t.co/4Yie4cAT4P",1,1,1,0,0
"31",31,"RT @pcr241: I saw JUDGE JANINE,questioning the women at this THING,they seemed BEWILDERED and CONFUSED as to their PURPOSE

#SHARIAsuks htt…",0,0,1,-0.4648,-0.465
"32",32,"Say it again! #BlackLivesMatter https://t.co/sPCsnf7P4U",1,1,0,0,0
"33",33,"RT @SirenWonderland: You're so vain. You prolly think this March is about you. @BosWomensMarch #WomensMarch https://t.co/63rcnQuzPV",1,0,1,-0.5598,-0.475
"34",34,"RT @MaggieSimmons97: my heart ACHES that I couldn't be with u this time, but I am so emotional and so proud of everyone walking the #Womens…",1,1,0,0.8401,0.724
"35",35,"RT @Thomas1774Paine: Grocery stores experience shortage on chemical cleaning supplies after #WomensMarch attendees swap man-hater recipes.…",0,0,1,-0.25,-0.25
"36",36,"RT @dlmluckytiger: Wow! Snl- Kelly Ann Conway steals ""Chicago""! Must watch &amp; RT! #alternativefacts #WomensMarch #SNL  https://t.co/de2qmGAP…",1,0,0,0.3348,0.335
"37",37,"@libertasforall @RealJamesWoods @womensmarch Look at history.",1,1,0,0,0
"38",38,"Trump's White House website has already deleted all references to LGBT rights. Please march tomorrow #WomensMarch https://t.co/u8rRER3FJ7 https://t.co/XMitfVerFN",1,0,0,0.3182,0.318
"39",39,"#Asheville #WomensMarch 10,000 strong. population just 87k. #lovewins #ProudAmerican #notmypresident https://t.co/cmJyBqayDw",1,1,1,0.5106,0.511
"40",40,"#WomensMarch I believe if we repeat income inequality like broken record, it'll make this gov try to deliver results",1,0,0,-0.1531,-0.153
"41",41,"for my book nerds https://t.co/zpysXtLBtX",1,1,0,0,0
"42",42,"#marchonwashington #womensmarch #selfie #pinkhat #pinkpussyhat #jan21 @ Washington National Mall https://t.co/VdzPLeuIBi",1,1,0,0,0
"43",43,"RT @mgremb: Why are people arguing about whether the Women's March has a good name or not. 

Just. Show. Up.

#WomensMarch",1,0,0,-0.0258,-0.026
"44",44,"RT @HearTheChimp: @TEN_GOP @GlennMcmillan14 They will NEVER watch this, they're 2 busy protesting the fact they have NOTHING to protest abo…",0,0,1,-0.264,-0.264
"45",45,"RT @ddsnorth: .@MMFlint @womensmarch women marched on Washington in 1915 ... now, almost a century later, women must walk on Washington aga…",1,1,0,0,0
"46",46,"RT @cathysharick: Breakfast for my kids while I'm at the #WomensMarch in DC. ❤️❤️@theablebaker https://t.co/ePqSP8ddtm",1,1,0,0,0
"47",47,"RT @donnabrazile: #spread the good news. #WomensMarch   https://t.co/CaS59obb3l",1,1,1,0.4404,0.44
"48",48,"RT @bbtalkmiley: I adore her so much #WomensMarch https://t.co/UVBXLkmn1d",1,1,0,0.5574,0.557
"49",49,"Even in chess, women dont play men except in some rare competitions. One of the reason I support #WomensMarch and #GenderEquality",1,0,0,0.169,0.169
"50",50,"RT @jessewente: This right here. https://t.co/iA65O3CUrl",1,1,1,0,0
"51",51,"RT @BruceBourgoine: Crowd starting to gather at Statehouse for #WomensMarchme! #p2 #TheResistance #WomensMarch #UniteBlue #mepolitics https…",1,1,0,0,0
"52",52,"I'm so happy to see my tl is full of people supporting the #WomensMarch even they cant join it",1,1,0,0.7189,0.719
"53",53,"RT @haileybranson: ""He's always says everything is 'So great!' Well, I think he's so gross.""- Heather Brooks of N. Carolina. #WomensMarch h…",1,0,1,0.3613,0.568
"54",54,"RT @notmeraymond: then where were you during the election? https://t.co/sbSqtMCwEN",1,0,1,0,0
"55",55,"haaaa you understand that women marching is literally the reason your dumb ass was even allowed to vote for trump??? ever think about that?? https://t.co/9gfNozXGvG",1,0,1,-0.8299,-0.83
"56",56,"Watching everything from the #WomensMarch warms my heart and gives me hope",1,1,0,0.8481,0.612
"57",57,"RT @NewsHour: 'We’re going to continue to fight for our rights' -- #WomensMarch organizer @msladyjustice1 https://t.co/e6hO4oXQoq",1,0,1,-0.3818,-0.382
"58",58,"RT @ChristineEwing7: @JustinTrudeau Some of your citizens have been denied entry to the USA .""Canadians denied US entry"" https://t.co/DtvwL…",1,0,0,-0.7003,-0.7
"59",59,"All day and radio silence from @POTUS about the possibly 3 million #WomensMarch worldwide. Is he having a come-to-jesus moment?",1,1,0,0,0
"60",60,"Best sign ever! #WomensMarch #NotMyPOTUS https://t.co/xRZNHAhp9y",1,1,0,0.6696,0.67
"61",61,"RT @Fotis_Filippou: We're ready. See you all tomorrow! @womensmarchlon #WomensMarch  #LoveTrumpsHate #BlackLivesMatter https://t.co/bW8QL92…",1,1,1,0.4199,0.42
"62",62,"Oakland strong. #oaklandwomensmarch #oakland #womensmarch #nastywomen #imwithher #meow… https://t.co/t1Uf58Ftbo",1,1,0,0.5106,0.511
"63",63,"We are the granddaughters of the witches you weren't able to burn. #WomensMarch https://t.co/rBqRXtgzXH",1,0,0,0,0
"64",64,"RT @jennwadsworth: Updated estimate: just heard from @SanJosePD on scene that San Jose #WomensMarch drew 40k.",1,1,0,0,0
"65",65,"The rap legend @MeekMill inspiring politics . #MMG https://t.co/bYvLGa28XC",1,1,0,0.4215,0.421
"66",66,"50,000 strong! #WomensMarch #WomensMarchAustin #TheResistance #FreedomNotFear https://t.co/0npy1V15qK",1,1,0,0.5562,0.556
"67",67,"RT @madyoreilly: St. Louis will not go quietly 👏🏻👏🏽👏🏿#WomensMarch https://t.co/9335efIiKN",1,1,0,0,0
"68",68,"RT @Emmaville82: @womensmarch I just hope that this isn't a one day wonder. I'm prepared to March for as long as it takes. #staystrong xx",1,1,0,0.5859,0.586
"69",69,"Nashville, you're amazing. #WomensMarch #PowerTogetherTN https://t.co/LRjf1R7nC2",1,1,0,0.5859,0.586
"70",70,"RT @RageGoldenEagle: #WomensMarch #MillionWomanMarch in a nutshell... https://t.co/4UpNbJ04Nf",1,1,0,0,0
"71",71,"Of course you do sweetcakes. That's why you're in my mentions first ;) @OneSillyFag @womensmarch @owillis @_abby_c https://t.co/OVoGYLaN95",1,1,0,0.2263,0.226
"72",72,"RT @swansmayor: mutuals who only cared abt #WomensMarch once celebrities got involved https://t.co/HOwoqWGAfL",0,0,1,0.4215,0.421
"73",73,"RT @caitlinthealien: idk asshole i kinda want the right to choose but if someone wants to give me a mani/pedi feel free! it's been years. h…",1,0,0,0.6752,0.675
"74",74,"Also, where were all of you on Election Day? #WomensMarch",0,0,1,0,0
"75",75,"What an amazing experience yesterday at the Women's March. So happy and motivated to be a part of this movement #WomensMarch #marchonaustin https://t.co/nAdMp1W8fQ",1,1,0,0.9154,0.901
"76",76,"We need a March like this late October 2018  Can we get a turnover in Congress...checks and balance?? @womensmarch  #WomensMarch",1,1,1,0.4329,0.433
"77",77,"Apparently wealthy #AshleyJudd complains about paying for tampons. Does she realize what women in some countries use? https://t.co/YVGNcf9K7k",0,0,1,-0.0258,-0.026
"78",78,"RT @hngandhi: They marched.  Now what? #MarchOnWashington #womensmarch #bbcnews @BBCNewsUS https://t.co/mnPKVS3RwX https://t.co/DfhNVvn1Fi",1,0,0,0,0
"79",79,"Just a bunch of libtard states like Idaho, Texas and Georgia. https://t.co/X8QQ06Pdoh",0,0,1,0.3612,0.361
"80",80,"@veroniac talks pussyhats and @DocsIndivisible with @BBCNuala! https://t.co/nUduGgQDQy",1,1,1,0,0
"81",81,"RT @charzdesigns: Do these women know this?? She wants to help us, but not her own sisters? They should be frightened of her, not Trump! #W…",0,0,1,-0.5903,-0.59
"82",82,"RT @charzdesigns: Do these women know this?? She wants to help us, but not her own sisters? They should be frightened of her, not Trump! #W…",0,0,1,-0.5903,-0.59
"83",83,"Of course, women have been ignored for centuries (especially in religion). https://t.co/4YllrCIzYO",1,0,0,-0.3182,-0.318
"84",84,"RT @ArianatorLovix: Ariana and Nonna at the #WomensMarch in LA today. https://t.co/B4S1gNHjan",1,1,0,0,0
"85",85,"RT @TinaDupuy: Trump, you may be able to grab a woman's pussy without consent, but you can't govern without consent. #UnpopularPOTUS #women…",1,0,0,0.1043,0.104
"86",86,"RT @RedHotSquirrel: One Thousand Four Hundred vulnerable girls were sexually abused over 16 years in Rotherham alone. There was NO #WomensM…",1,0,1,-0.8455,-0.846
"87",87,"RT @staywithmeSB: MY FAVS BEING AMAZING AS ALWAYS #WomensMarch https://t.co/7QRgKb2kxA",1,0,0,0.6739,0.674
"88",88,"We made history at #womensmarch. Now it’s time to make our voices heard. First up: send a postcard to your Senators https://t.co/qxYA0BgO1G",1,1,0,0,0
"89",89,"RT @joshsfitz61885: Even my little town can make a lot of noise! #WomensMarch https://t.co/5qc7Qcoi7k",1,1,0,0,0
"90",90,"CNN analyst lets slip truth about #WomensMarch “It’s not about women, it’s about... https://t.co/yc6hKIz6Ww by #LindaSuhler via @c0nvey",1,0,0,0.3182,0.318
"91",91,"RT @KissMySnap: Rihanna flew from Paris to be apart of the #WomensMarch what an icon",1,1,0,0,0
"92",92,"#WomensMarch was rly something https://t.co/4bdpg8QGGm",1,0,0,0,0
"93",93,"@HankCampbell @jennysplitter @womensmarch Disagree. Real feminism abt empowering women &amp; their choices. You can't be anti-choice &amp; feminist.",1,0,0,-0.3818,-0.382
"94",94,"No one should accept being grabbed by the p_ssy. If you can’t march join the @PussyhatProject and get your pink on online #WomensMarch https://t.co/AgqZMfJXj8",1,0,0,0.3818,0.382
"95",95,"I decline to speculate. https://t.co/WG0qBBxTJB",1,0,0,0,0
"96",96,"If only @HillaryClinton hadn't fucked Bernie over, @womensmarch wouldn't have been needed... Just saying :(",1,0,0,0.1571,0.157
"97",97,"Warmed and inspired. @juliarothman https://t.co/3i1qvBbzdz #womensmarch",1,1,0,0.6486,0.649
"98",98,"RT @hazelcowan: Women should march against this treatment. https://t.co/LOuUsibyTI",1,0,0,0,0
"99",99,"The most inspiring thought about the #WomensMarch is that many could not make it out, but support the cause nonetheless.",1,1,1,0.6805,0.68
"100",100,"This has to be unprecedented. Trump, like Hitler, will just double down. https://t.co/IAn1SKADHY",1,0,0,0.3612,0.361
"101",101,"RT @sigggnasty: No man has the right to tell a woman what she is allowed to do with her own body. 
Our Bodies, Our Choice.
#WomensMarch #IS…",1,0,0,-0.296,-0.296
"102",102,"RT @CultureShifting: #WomensMarch - You're Forgetting Someone... #MarchForLife #politics https://t.co/BpzQOMSxWf https://t.co/VEuwL0Tj0U",0,0,1,0,0
"103",103,"RT @CultureShifting: #WomensMarch - You're Forgetting Someone... #MarchForLife #politics https://t.co/BpzQOMSxWf https://t.co/VEuwL0Tj0U",0,0,1,0,0
"104",104,"RT @Sabsterz_: I am in tears https://t.co/AXzyifb683",1,1,0,-0.2263,-0.226
"105",105,"RT @landsbaumshell: A casual tree full of bras at the #WomensMarch https://t.co/wEmRFg5sB4",1,1,0,0.2023,0.202
"106",106,"Beautiful display of #HumanRights today! #WomensMarch",1,1,0,0.636,0.636
"107",107,"Ah yes more quirky white women https://t.co/fEBMaXbZY7",1,1,0,0.4019,0.402
"108",108,"RT @SafeWordApples: #WomensMarch It was never about Women's Rights. It was about being able to be pigs. Enjoy hell, ladies. #LiberalsAreACa…",0,0,1,-0.34,-0.34
"109",109,"RT @abriefsummery: Democracy, empathy, history, passion, fight, hope, lovelovelovelovelove 

#womensmarch… https://t.co/Rs36nHuIBC",1,1,0,0.5106,0.511
"110",110,"Heading to DC on Saturday for the @womensmarch on Washington! Marching for equality 4ALL, public education, gun control, &amp; the environment!",1,1,0,-0.4559,-0.456
"111",111,"RT @maziehirono: Aloha trumps hate &amp; we will not back down #WomensMarch https://t.co/nGbe0rsPEW",1,1,1,-0.5719,-0.572
"112",112,"RT @bestjhutchpics: My boy out there doing the right thing 💪 #WomensMarch https://t.co/0b6MHQt1Cv",1,1,0,0,0
"113",113,"RT @Chuster: Metro train conductor shouting #womenrule. The whole city is with us. #WomensMarch #resisterhood",1,1,0,0,0
"114",114,"Amazing day of service-learning and unity #WomensMarch #WomensMarchAustin https://t.co/qtoBGNlUFI",1,1,0,0.5859,0.586
"115",115,"I choose to fight for what I believe in. #WomensMarch",1,0,0,-0.3818,-0.382
"116",116,"@spinningkates @womensmarch Nice work!",1,1,1,0.4753,0.475
"117",117,"#WomensMarch VOA is at ground zero. https://t.co/6e9ocET0Pv",1,0,0,0,0
"118",118,"RT @leahmcelrath: THIS.

Fight the ascendance of authoritarianism WHILE YOU CAN, before its too late.

#WomensMarch https://t.co/hJdMkRmlZD",1,1,1,-0.4588,-0.382
"119",119,"When you share photos from the inauguration protests to try and make it seem like #WomensMarch was violent. #nicetrythough #womenalwayswin https://t.co/cieqpxJOt7",1,0,0,-0.2732,-0.273
"120",120,"RT @Nwanyi_abagana: I liked this thread. https://t.co/8oylMNXHZk",1,1,0,0.4215,0.421
"121",121,"673 Sister marches around the world! We stand in solidarity w/ YOU! https://t.co/I2xWPGRjft #WhyIMarch... by #NicoleMHMetz via @c0nvey",1,1,0,0.4184,0.418
"122",122,"RT @TheTeenagePunk: SO WISH I WAS IN DC FOR THE #WomensMarch",1,1,0,0.7449,0.666
"123",123,"""They tried to bury us. They didn't know we were seeds"" #WomensMarch https://t.co/EZJbKtGzge",1,1,0,0,0
"124",124,"RT @grandeslaurinah: wow amazing https://t.co/PARaoQicYw",1,1,0,0.8225,0.822
"125",125,"We're on our way to the #WomensMarch! #WontBackDown https://t.co/KeKPTCeWOX",1,1,0,0,0
"126",126,"Wearing American's #flag as #hijab #womensmarchSF https://t.co/5toqfXGnSK",1,1,0,0,0
"127",127,"@SheriffClarke 
Total collapse of the social order? D.C. Police wearing pussy hats and cheering #Womensmarch https://t.co/lfLmmsvEZV",1,0,0,-0.0498,-0.05
"128",128,"RT @LadyDoc4Trump: #Libs #WomensMarch in support of
#abortion ▶️kill next generation
#ShariaLaw ▶️ rape&amp;kill women
#illegals ▶️ no border,…",0,1,1,0.7717,-0.637
"129",129,"RT @k8andgracie: If @MILCKMUSIC beautiful anthem Quiet isn't the song of the #WomensMarch &amp; the song of 2017, I don't know what is. #tearss…",1,1,0,0.5994,0.599
"130",130,"RT @GoToArtRave: Their gentials were mutilated 
Now they want yours! https://t.co/uQgfNT8Lul",0,0,1,0.1511,0.151
"131",131,"RT @0224Allie: #WomensMarch this is amazing! Our country is pulling together for such an amazing purpose, I'm so glad I was born into this…",1,1,0,0.9146,0.904
"132",132,"RT @JesKast: I march for Mother Mary #WomensMarch https://t.co/FzaVONCElC",1,1,0,0,0
"133",133,"RT @WeirdOwlchemy: TRUMP BURN #WomensMarch https://t.co/hdsgVyZVt0",1,1,0,0,0
"134",134,"Protesting woman's rights, by using a cloth that represents freedom to make a hijab that represents female oppression. Did I miss something? https://t.co/kRd7mkdkNh",0,0,1,0.2023,0.202
"135",135,"#WomensMarch is a pointless waste of time",0,0,1,-0.4215,-0.421
"136",136,"Hypocrites the lot of them https://t.co/pdSEUumgA4",0,0,1,0,0
"137",137,"RT @NBCOUT: 'In this together': #WomensMarch in D.C. echoed around the world https://t.co/syWCkXjAKB via @nbcnews",1,1,1,0,0
"138",138,"RT @angryaiithetime: #WomensMarch Emma Watson,Bonnie Wright, Kristen Stewart y Scarlett Johansson. https://t.co/ZlQP6To3CK",1,1,0,0,0
"139",139,"RT @hyphyspicy: This thread 💜 https://t.co/V38nUcMH4q",1,1,0,0.6369,0
"140",140,"RT @regina_mea: the ouat ladies marching today #WomensMarch https://t.co/oQjBAUz3n4",1,1,0,0,0
"141",141,"RT @CornellWBrooks: If @SenatorSessions wouldn't call grabbing your body an assault, we can't call him Attorney General. Call 877-959-6082.…",1,0,0,-0.5859,-0.586
"142",142,"Can a gif win a Pulitzer? https://t.co/T3KTUEkquQ",1,1,0,0.5859,0.586
"143",143,"RT @trumpology: Maybe it's time 4 a classy Woman's March where those of us woman who are disgraced by this display of absurdity march w/sty…",0,0,1,-0.0258,-0.026
"144",144,"RT @DesMchlmcgnn: How to get the horror of the brutality suffered by Yazidi women at the hands of daesh communicated to every woman demonst…",0,0,1,-0.8979,-0.898
"145",145,"RT @HiCaliberLilGal: #WomensMarch attendees hate firearms for self defense against would be perpetrators but love these weapons to tear apa…",0,0,1,0.09,0.09
"146",146,"Let's go! ✊🏻✊🏻✊🏻Theres a man next to me on bus to D.C. who's trying to annex my arm rest. Wrong time &amp;place to manspread, bro. #WomensMarch",1,0,0,-0.5255,-0.525
"147",147,"RT @chaitraveler: 🗣 if you're a Black woman in college, attending a #WomensMarch event, and willing to be interviewed, please let me know!…",1,1,0,0.3802,0.38
"148",148,"Protests Sweep U.S. on Trump’s First Day! YES!!! Silence is NOT an option! #OurRevolution #WomensMarch #txlege  https://t.co/xWZKGR4eVg",1,1,1,0.572,0.572
"149",149,"RT @caromaline: Good people in #Belfast, showing support for #WomensMarch with @ChrisPatSimpson and @gunnsara  #humanrights https://t.co/lp…",1,1,0,0.6808,0.681
"150",150,"RT @Alifaith55: RT to SUPPORT Rep @NydiaVelazquez  (NY)

I'm joining @womensmarch instead! ✊

#TheResistance #BoycottTrumpInauguration http…",1,0,0,0.5754,0.575
"151",151,"#WomensMarch Organizer Linda Sarsour Wants Sharia Law in America https://t.co/jAGAkCni8h",0,0,1,0,0
"152",152,"RT @Purpose: There are now 616 #SisterMarches happening all over the world, alongside #WomensMarchOnWashington! #LYLAS #WomensMarch @womens…",1,1,0,0.6833,0.683
"153",153,"RT @xBruci: You're a sad individual if you're offended or angry over the #WomensMarch.",1,0,0,-0.8126,-0.813
"154",154,"How dare Trump demean women. He don't whores like this, demean women. https://t.co/Lh5JSASpoU",0,0,1,0.2755,0.276
"155",155,"RT @mharanas1987: Wife&amp;daughter at #BostonWomensMarch #WomensMarch pretty cute @CNN #WomensMarchOnWashington https://t.co/ySHvfn67k4",1,1,1,0.7351,0.735
"156",156,"RT @aislingfarmny: Sure felt that way!! https://t.co/oWg9hzb0jr",1,1,0,0.4374,0.437
"157",157,"@Brent_N_Hughes wants to come at me about my views, fine. Don’t initiate to simply name call and run away when given facts. #WomensMarch",1,0,0,0.2023,0.202
"158",158,"RT @U2_Breathe: #TheEdge, @TheAbbyTravis , @BradWilkdrummer and @JulietteLewis - ""Pride"" [#WomensMarch- #LA, 21-01-17]
#U2NewsIT @U2 https:…",1,1,0,0.34,0.34
"159",159,".@SenatorHassan ""Make sure to keep an eye on this capitol as well"" #nhpolitics #WomensMarch https://t.co/u1eJMthj1o",1,1,0,0.5267,0.527
"160",160,"Millions of us will march today. Our numbers are too great to ignore. We are the people. Here's Auckland, New Zealand #womensmarch https://t.co/SfoVqBUuDP",1,1,0,0.3818,0.382
"161",161,"It's also on @YouTube 😍 https://t.co/LP17DxtuhN",1,1,0,0.4588,0
"162",162,"RT @NBABallers97: Shout-out to everyone participating in the #WomensMarch today! 💯💯💯 One love to everybody today; we gotta send a strong me…",1,1,0,0.8313,0.831
"163",163,"Gosh I LOVE the #WomensMarch!!! #ashleyjudd @SenWarren Thank you everyone! Thank you @HillaryClinton 😘😘😘👍🏼👍🏼👍🏼💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼",1,1,0,0.9612,0.902
"164",164,"#WomensMarch this is the coolest thing to watch wow, i wish i could be a part of this 💛",1,1,0,0.8934,0.758
"165",165,"RT @BangingToAFault: ""The next 1459 days of the Trump Administration will be 1459 days of resistance."" -Angela Davis  🙌 #WomensMarch",1,1,0,0,0
"166",166,"If you marched in any city yesterday, text ""count me"" to 89800. The Women's March organizers are trying to get head count. #WomensMarch",1,0,0,0,0
"167",167,"RT @oh4twentysix: @womensmarch You not honoring @HillaryClinton is despicable.. Your ideological purity is cute.. but you need a coalition…",0,0,1,0.0384,0.038
"168",168,"RT @oh4twentysix: @womensmarch You not honoring @HillaryClinton is despicable.. Your ideological purity is cute.. but you need a coalition…",0,0,1,0.0384,0.038
"169",169,"How low can these desperate celebrities go 
#WomensMarch https://t.co/5PjHf1OQQf",0,0,1,-0.5267,-0.527
"170",170,"Love my city and my people so much https://t.co/6xyJcJOoaC",1,1,0,0.6369,0.637
"171",171,"Apparently NOT---If it was done in my town no doubt they would be charged with littering for sure--Bunch of women leaving such a mess--WOW https://t.co/sOLakWmDiv",0,0,1,0.0798,0.08
"172",172,"BEST NEWS! 💞 https://t.co/9zx12HbJkQ",1,1,0,0.8891,0.737
"173",173,"Shoutout to @henriettahudson's Lisa &amp; Minnie for organizing such a great group of folx to march with in DC! #WomensMarch",1,1,0,0.6588,0.659
"174",174,"RT @evanoconnell: This dog is marching too. #WomensMarch #womensmarchparis #marchedesfemmes https://t.co/Sn0Zgnodf6",1,1,1,0,0
"175",175,"RT @EstoyConHillary: RT Bigly 🔥🔥🔥

#TheResistance #Inauguration #WomensMarch https://t.co/chOJi6HlNZ",0,1,1,-0.7351,0
"176",176,"Watch Madonna’s fiery, expletive-laden speech at the #WomensMarch on Washington https://t.co/rO1O4ccoE8",1,1,0,-0.34,-0.34
"177",177,"...so a good portion of the country is turned off by a trump presidency. The #WomensMarch has a better turn out then the inauguration.",1,1,0,0.7003,0.725
"178",178,"All the best celebrity moments from yesterday's #WomensMarch https://t.co/p1CWbjEz6F https://t.co/TLHxNtqCJp",1,1,0,0.6369,0.637
"179",179,"It is illegal to cover your face in DC while protesting, she is breaking the law. If they all would have voted would not be in the streets. https://t.co/s5Z4fRvtKf",0,0,1,-0.7506,-0.751
"180",180,"Advice for the #WomensMarch— https://t.co/ZBermjSLhL",1,1,0,0,0
"181",181,"RT @datrumpnation1: Wow!!!  This should be considered a threat and Madonna should be questioned by the @SecretService and @FBI https://t.co…",0,0,1,-0.2206,-0.221
"182",182,"RT @datrumpnation1: Wow!!!  This should be considered a threat and Madonna should be questioned by the @SecretService and @FBI https://t.co…",0,0,1,-0.2206,-0.221
"183",183,"The #WomensMarch of 1913: when thousands of suffragists crashed Woodrow Wilson's... https://t.co/bo9curqrns by #mashable via @c0nvey",1,1,1,0,0
"184",184,"RT @kendallburwick: STOP THE WAR ON WOMEN. THIS IS 2017 &amp; MY BODY IS NOT YOUR POLITICAL PLAYGROUND. DIVERSITY, UNITY, EQUALITY. This is #wh…",1,0,0,-0.8208,-0.821
"185",185,"I can't believe! Amazing global #WomensMarch https://t.co/lL1B6MqAnf",1,1,1,-0.521,-0.521
"186",186,"RT @whatsernaame_: So inspired by everyone who marched and protested today. Hard to ignore, impossible to forget. #WomensMarch #WomenWhoHav…",1,1,0,-0.0474,-0.204
"187",187,"RT @RachaelHeinan: The #womensmarch does NOT represent all women and is irresponsible to claim to do so! #NotMyMarch",0,0,1,-0.4926,-0.493
"188",188,"Truly sad re march. So many manipulated by hidden agenda &amp; mindless mob mentality, vitriol drowning out genuine discourse, so little depth! https://t.co/Jj1Eqgn0IH",0,0,1,-0.7407,-0.741
"189",189,"The latest Nachgelesen! https://t.co/0k9dlKQe9M Thanks to @EKD @mdemanto @JensWoelk #trump #womensmarch",1,1,0,0.4926,0.493
"190",190,"7 continents represented at the Women's marches today! #TheResistance #WomensMarch",1,1,0,0,0
"191",191,"This thread breaks my heart https://t.co/N76QpagSMy",1,1,0,0.6369,0
"192",192,"Hella respect for y'all https://t.co/ucNf6VKFZ9",1,1,1,0.5256,0.526
"193",193,"@wwmayoremeritus exactly, like #BlackLivesMatter #WomensMarch #StandWithPP #climatechange &amp; so many more.",1,1,0,0.3612,0.361
"194",194,"Pussy is ready. #WomensMarch 💪🏼🐱",1,1,1,0.3612,0.361
"195",195,"❤️ these marches are mind-blowing - don't forget this is only just the beginning #womensmarch #pussyhatproject #humanrights #lgbt",1,1,0,0.1695,0.169
"196",196,"Headed to #WomensMarch #philadelphia 
Train hasn't left the first stop in CH and seats are almost gone.",1,1,0,-0.296,-0.296
